"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 02월 18일","1,937.25","1,851.65","1,937.25","1,851.65","8.64K","4.86%"
"2021년 02월 17일","1,847.48","1,781.83","1,847.48","1,765.68","9.76K","3.64%"
"2021년 02월 16일","1,782.57","1,779.81","1,788.57","1,779.81","20.06K","0.16%"
"2021년 02월 15일","1,779.72","1,800.69","1,807.74","1,779.72","22.44K","-1.16%"
"2021년 02월 14일","1,800.69","1,815.05","1,840.23","1,800.69","10.66K","-0.77%"
"2021년 02월 13일","1,814.61","1,838.63","1,849.83","1,807.44","16.66K","-1.33%"
"2021년 02월 12일","1,839.14","1,785.73","1,839.14","1,762.38","13.64K","3.03%"
"2021년 02월 11일","1,785.00","1,741.66","1,792.87","1,741.66","22.44K","2.53%"
"2021년 02월 10일","1,740.96","1,769.56","1,801.82","1,740.96","29.42K","-1.61%"
"2021년 02월 09일","1,769.41","1,748.86","1,769.41","1,748.86","29.05K","1.18%"
"2021년 02월 08일","1,748.86","1,612.28","1,748.86","1,612.28","32.34K","8.50%"
"2021년 02월 07일","1,611.83","1,677.70","1,677.70","1,575.94","32.23K","-3.89%"
"2021년 02월 06일","1,677.06","1,719.59","1,719.59","1,658.99","18.63K","-2.49%"
"2021년 02월 05일","1,719.84","1,595.22","1,735.11","1,595.22","24.42K","7.81%"
"2021년 02월 04일","1,595.22","1,662.39","1,662.39","1,595.22","39.27K","-4.04%"
"2021년 02월 03일","1,662.39","1,512.26","1,662.39","1,512.26","30.56K","10.01%"
"2021년 02월 02일","1,511.11","1,373.33","1,511.11","1,373.33","48.87K","10.05%"
"2021년 02월 01일","1,373.07","1,313.12","1,373.07","1,313.12","28.43K","4.58%"
"2021년 01월 31일","1,312.93","1,375.97","1,375.97","1,312.93","22.42K","-4.58%"
"2021년 01월 30일","1,375.95","1,378.77","1,378.77","1,349.55","36.64K","-0.21%"
"2021년 01월 29일","1,378.79","1,328.09","1,415.69","1,321.51","71.27K","3.82%"
"2021년 01월 28일","1,328.12","1,238.18","1,328.12","1,238.18","39.26K","6.99%"
"2021년 01월 27일","1,241.35","1,365.52","1,365.52","1,241.35","75.75K","-9.09%"
"2021년 01월 26일","1,365.52","1,319.49","1,365.52","1,319.49","61.07K","3.52%"
"2021년 01월 25일","1,319.14","1,390.67","1,408.39","1,319.14","59.20K","-5.13%"
"2021년 01월 24일","1,390.43","1,233.22","1,390.43","1,233.22","35.86K","12.75%"
"2021년 01월 23일","1,233.22","1,233.23","1,259.55","1,233.22","43.02K","-0.07%"
"2021년 01월 22일","1,234.08","1,111.66","1,234.08","1,110.07","114.68K","11.13%"
"2021년 01월 21일","1,110.48","1,377.50","1,377.50","1,110.48","139.43K","-19.38%"
"2021년 01월 20일","1,377.50","1,368.05","1,389.97","1,316.33","101.38K","0.63%"
"2021년 01월 19일","1,368.90","1,257.91","1,383.75","1,257.91","104.46K","8.82%"
"2021년 01월 18일","1,257.91","1,232.88","1,257.91","1,225.65","81.27K","1.98%"
"2021년 01월 17일","1,233.54","1,228.50","1,233.54","1,183.11","145.53K","0.41%"
"2021년 01월 16일","1,228.51","1,168.81","1,267.39","1,168.81","159.59K","5.11%"
"2021년 01월 15일","1,168.81","1,232.34","1,232.34","1,168.81","237.73K","-5.22%"
"2021년 01월 14일","1,233.17","1,010.59","1,233.17","1,010.59","127.91K","22.02%"
"2021년 01월 13일","1,010.59","1,050.54","1,066.96","1,010.59","49.79K","-3.75%"
"2021년 01월 12일","1,050.01","1,086.75","1,117.60","1,050.01","100.61K","-3.55%"
"2021년 01월 11일","1,088.71","1,255.39","1,255.39","984.99","87.80K","-13.32%"
"2021년 01월 10일","1,256.08","1,333.96","1,339.14","1,256.08","68.07K","4.48%"
"2021년 01월 06일","1,202.23","1,099.95","1,202.23","1,099.95","105.94K","9.31%"
"2021년 01월 05일","1,099.82","1,042.01","1,099.82","1,008.63","126.33K","5.42%"
"2021년 01월 04일","1,043.28","977.56","1,043.28","937.88","133.86K","6.70%"
"2021년 01월 03일","977.80","774.56","977.80","774.56","121.09K","26.24%"
"2021년 01월 02일","774.55","729.15","779.01","729.15","98.63K","6.23%"
"2021년 01월 01일","729.15","736.15","739.32","728.35","73.41K","-0.90%"
"2020년 12월 31일","735.81","752.01","752.01","731.60","95.14K","-2.16%"
"2020년 12월 30일","752.03","731.72","752.03","722.24","167.91K","2.78%"
"2020년 12월 29일","731.72","729.91","731.72","713.72","182.64K","0.18%"
"2020년 12월 28일","730.41","684.56","744.07","684.56","264.01K","6.68%"
"2020년 12월 27일","684.66","636.67","693.99","636.67","190.89K","7.58%"
"2020년 12월 26일","636.44","626.71","647.61","624.16","160.50K","1.55%"
"2020년 12월 25일","626.73","612.60","626.73","612.60","137.29K","2.31%"
"2020년 12월 24일","612.60","585.49","612.60","575.67","145.43K","4.64%"
"2020년 12월 23일","585.41","637.10","637.10","585.41","114.11K","-8.13%"
"2020년 12월 22일","637.21","608.25","637.21","598.92","150.23K","4.76%"
"2020년 12월 21일","608.25","638.51","646.42","608.25","130.12K","-4.74%"
"2020년 12월 20일","638.51","658.28","658.28","638.51","174.73K","-3.00%"
"2020년 12월 19일","658.28","653.77","664.91","649.50","188.42K","0.69%"
"2020년 12월 18일","653.77","643.19","653.77","634.75","241.20K","1.61%"
"2020년 12월 17일","643.42","637.40","665.40","637.40","277.90K","0.92%"
"2020년 12월 16일","637.55","588.79","637.55","584.90","208.36K","8.28%"
"2020년 12월 15일","588.79","586.28","588.79","582.39","167.40K","0.42%"
"2020년 12월 14일","586.31","590.94","590.94","583.83","182.56K","-0.81%"
"2020년 12월 13일","591.10","568.00","591.10","565.22","230.82K","4.09%"
"2020년 12월 12일","567.90","544.19","567.90","544.19","112.41K","4.40%"
"2020년 12월 11일","543.94","558.70","558.70","541.28","266.21K","-2.59%"
"2020년 12월 10일","558.42","573.57","573.57","558.42","258.54K","-2.64%"
"2020년 12월 09일","573.54","554.94","573.54","548.55","285.16K","3.32%"
"2020년 12월 08일","555.08","591.32","591.32","555.08","246.77K","-6.13%"
"2020년 12월 07일","591.32","601.71","601.71","591.32","165.04K","-1.68%"
"2020년 12월 06일","601.41","596.44","603.27","592.99","192.38K","0.83%"
"2020년 12월 05일","596.44","567.83","596.44","567.83","224.88K","5.07%"
"2020년 12월 04일","567.68","615.95","617.68","567.68","166.24K","-7.84%"
"2020년 12월 03일","615.95","597.88","615.95","597.88","70.23K","3.00%"
"2020년 12월 02일","598.03","585.60","598.03","585.60","194.81K","2.16%"
"2020년 12월 01일","585.41","615.96","615.96","585.41","281.82K","-4.96%"
"2020년 11월 30일","615.96","575.66","615.96","575.66","318.32K","7.05%"
"2020년 11월 29일","575.41","536.19","575.41","536.19","268.21K","7.00%"
"2020년 11월 28일","537.74","518.34","540.07","513.59","238.25K","4.08%"
"2020년 11월 27일","516.68","519.40","519.40","506.55","247.96K","-0.52%"
"2020년 11월 26일","519.40","570.02","570.02","501.45","310.74K","-8.88%"
"2020년 11월 25일","570.02","604.89","604.89","566.52","210.79K","-5.76%"
"2020년 11월 24일","604.89","609.08","617.89","595.49","216.27K","-0.69%"
"2020년 11월 23일","609.08","560.39","609.08","560.39","371.19K","8.71%"
"2020년 11월 22일","560.29","552.59","560.29","524.28","373.98K","1.46%"
"2020년 11월 21일","552.23","510.02","552.23","510.02","354.65K","8.25%"
"2020년 11월 20일","510.14","471.10","511.65","471.10","405.19K","8.30%"
"2020년 11월 19일","471.06","478.33","478.33","468.17","249.21K","-1.52%"
"2020년 11월 18일","478.33","482.14","482.14","473.98","326.85K","-0.79%"
"2020년 11월 17일","482.14","460.46","482.14","460.46","312.32K","4.73%"
"2020년 11월 16일","460.35","448.17","460.35","448.17","275.63K","2.72%"
"2020년 11월 15일","448.17","461.19","461.19","443.72","248.87K","-2.93%"
"2020년 11월 12일","461.67","463.19","463.19","458.37","279.49K","-0.33%"
"2020년 11월 11일","463.19","450.31","463.25","450.31","337.26K","2.86%"
"2020년 11월 10일","450.32","444.45","452.16","444.45","313.61K","1.39%"
"2020년 11월 09일","444.14","454.60","455.99","444.14","303.64K","-2.30%"
"2020년 11월 08일","454.60","435.05","454.60","435.05","331.09K","4.49%"
"2020년 11월 07일","435.05","455.83","462.24","435.05","430.85K","-4.53%"
"2020년 11월 06일","455.71","416.77","455.71","416.77","454.44K","9.37%"
"2020년 11월 05일","416.67","402.35","416.97","398.24","368.74K","3.60%"
"2020년 11월 04일","402.17","387.80","402.17","380.83","305.15K","3.71%"
"2020년 11월 03일","387.80","383.07","387.80","382.88","285.76K","1.21%"
"2020년 11월 02일","383.15","396.52","397.53","383.15","383.59K","-3.37%"
"2020년 11월 01일","396.52","386.36","396.52","386.36","200.40K","2.59%"
"2020년 10월 31일","386.52","382.53","386.52","382.53","242.63K","1.07%"
"2020년 10월 30일","382.40","387.15","387.15","382.40","324.52K","-1.23%"
"2020년 10월 29일","387.16","388.30","390.27","387.16","336.25K","-0.32%"
