"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 10월 08일","3,559.24","3,586.69","3,668.14","3,537.94","403.54K","-0.77%"
"2021년 10월 07일","3,586.93","3,575.39","3,649.64","3,473.54","486.11K","0.32%"
"2021년 10월 06일","3,575.58","3,514.94","3,627.08","3,345.56","618.23K","1.64%"
"2021년 10월 05일","3,517.82","3,386.15","3,540.83","3,364.83","393.90K","3.98%"
"2021년 10월 04일","3,383.17","3,417.06","3,436.13","3,272.33","485.18K","-0.97%"
"2021년 10월 03일","3,416.18","3,390.74","3,485.00","3,347.32","360.64K","0.82%"
"2021년 10월 02일","3,388.26","3,310.94","3,468.30","3,258.28","422.51K","2.38%"
"2021년 10월 01일","3,309.58","2,998.46","3,328.74","2,972.91","648.73K","10.32%"
"2021년 09월 30일","2,999.86","2,849.34","3,047.00","2,837.55","506.99K","5.19%"
"2021년 09월 29일","2,851.72","2,803.84","2,949.06","2,785.64","411.25K","1.57%"
"2021년 09월 28일","2,807.67","2,920.35","2,969.01","2,791.10","511.61K","-4.04%"
"2021년 09월 27일","2,926.02","3,057.50","3,164.20","2,926.02","510.07K","-4.48%"
"2021년 09월 26일","3,063.32","2,923.34","3,113.37","2,739.59","703.59K","4.84%"
"2021년 09월 25일","2,921.91","2,928.56","2,965.49","2,809.42","491.98K","-0.22%"
"2021년 09월 24일","2,928.24","3,152.02","3,157.89","2,740.03","932.09K","-7.12%"
"2021년 09월 23일","3,152.67","3,076.23","3,173.14","3,035.15","459.46K","2.43%"
"2021년 09월 22일","3,077.76","2,769.40","3,087.92","2,740.58","677.62K","11.31%"
"2021년 09월 21일","2,765.14","2,978.16","3,100.93","2,662.50","971.49K","-7.08%"
"2021년 09월 20일","2,975.90","3,334.06","3,343.83","2,933.47","917.82K","-10.59%"
"2021년 09월 19일","3,328.23","3,435.60","3,455.36","3,281.91","312.95K","-3.14%"
"2021년 09월 18일","3,436.22","3,401.18","3,539.57","3,371.10","315.12K","1.11%"
"2021년 09월 17일","3,398.38","3,567.89","3,593.31","3,352.78","398.88K","-4.75%"
"2021년 09월 16일","3,567.68","3,614.51","3,672.93","3,488.03","468.16K","-1.21%"
"2021년 09월 15일","3,611.32","3,433.88","3,611.32","3,360.48","428.77K","5.26%"
"2021년 09월 14일","3,430.91","3,285.83","3,430.91","3,270.69","373.34K","4.44%"
"2021년 09월 13일","3,285.09","3,401.16","3,428.87","3,117.75","647.87K","-3.60%"
"2021년 09월 12일","3,407.90","3,261.32","3,471.71","3,231.40","408.86K","4.30%"
"2021년 09월 11일","3,267.27","3,211.33","3,345.00","3,202.83","413.63K","1.76%"
"2021년 09월 10일","3,210.63","3,421.42","3,512.49","3,155.60","633.01K","-6.20%"
"2021년 09월 09일","3,422.99","3,497.93","3,564.31","3,395.09","628.54K","-2.18%"
"2021년 09월 08일","3,499.27","3,436.28","3,558.99","3,215.32","780.72K","2.25%"
"2021년 09월 07일","3,422.38","3,926.66","3,945.67","3,029.27","1.20M","-12.86%"
"2021년 09월 06일","3,927.43","3,950.29","3,968.00","3,866.73","397.78K","-0.59%"
"2021년 09월 05일","3,950.91","3,886.77","3,979.00","3,835.01","365.75K","1.70%"
"2021년 09월 04일","3,885.00","3,938.54","3,968.68","3,832.52","364.58K","-1.27%"
"2021년 09월 03일","3,934.83","3,785.63","4,025.06","3,716.75","655.82K","3.93%"
"2021년 09월 02일","3,786.14","3,826.43","3,833.42","3,722.78","525.42K","-1.30%"
"2021년 09월 01일","3,835.96","3,424.29","3,840.00","3,384.89","845.43K","11.85%"
"2021년 08월 31일","3,429.45","3,229.05","3,468.60","3,191.48","863.10K","6.22%"
"2021년 08월 30일","3,228.54","3,223.36","3,346.21","3,145.69","625.34K","0.21%"
"2021년 08월 29일","3,221.81","3,244.64","3,281.27","3,156.24","335.83K","-0.68%"
"2021년 08월 28일","3,244.01","3,273.88","3,284.73","3,212.53","262.35K","-0.90%"
"2021년 08월 27일","3,273.57","3,095.81","3,279.99","3,061.79","451.38K","5.86%"
"2021년 08월 26일","3,092.48","3,227.26","3,249.50","3,055.01","441.86K","-4.21%"
"2021년 08월 25일","3,228.40","3,170.02","3,247.63","3,080.42","483.75K","1.73%"
"2021년 08월 24일","3,173.35","3,324.58","3,357.83","3,150.40","540.54K","-4.50%"
"2021년 08월 23일","3,323.05","3,232.53","3,375.02","3,231.63","602.09K","2.62%"
"2021년 08월 22일","3,238.08","3,224.07","3,271.96","3,128.01","406.49K","0.44%"
"2021년 08월 21일","3,223.91","3,285.12","3,307.33","3,200.19","421.17K","-1.82%"
"2021년 08월 20일","3,283.51","3,182.60","3,299.87","3,176.85","19.54K","3.17%"
"2021년 08월 19일","3,182.59","3,016.58","3,187.21","2,960.64","36.29K","5.54%"
"2021년 08월 18일","3,015.62","3,011.54","3,123.48","2,951.66","42.91K","0.11%"
"2021년 08월 17일","3,012.34","3,146.81","3,290.36","2,993.10","44.72K","-4.27%"
"2021년 08월 16일","3,146.57","3,308.16","3,334.21","3,134.38","29.12K","-4.89%"
"2021년 08월 15일","3,308.41","3,264.15","3,319.27","3,112.92","27.73K","1.35%"
"2021년 08월 14일","3,264.44","3,321.78","3,329.95","3,206.12","24.14K","-1.73%"
"2021년 08월 13일","3,321.78","3,047.01","3,325.25","3,034.71","26.72K","9.02%"
