"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 09월 22일","43,551.6","40,660.8","43,976.7","40,585.7","93.98K","7.13%"
"2021년 09월 21일","40,651.3","43,012.3","43,619.3","39,646.8","142.55K","-5.18%"
"2021년 09월 20일","42,870.6","47,240.8","47,323.9","42,547.1","77.96K","-9.25%"
"2021년 09월 19일","47,238.7","48,299.9","48,341.9","46,866.6","41.98K","-2.21%"
"2021년 09월 18일","48,306.7","47,283.9","48,761.0","47,070.5","43.64K","2.17%"
"2021년 09월 17일","47,282.8","47,748.2","48,155.9","46,788.8","50.16K","-0.97%"
"2021년 09월 16일","47,748.0","48,132.3","48,480.6","47,040.3","60.91K","-0.80%"
"2021년 09월 15일","48,130.6","47,070.8","48,436.5","46,743.9","63.40K","2.24%"
"2021년 09월 14일","47,077.5","44,950.2","47,247.6","44,718.7","65.33K","4.73%"
"2021년 09월 13일","44,949.5","46,060.8","46,807.7","43,463.2","96.15K","-2.42%"
"2021년 09월 12일","46,062.3","45,162.6","46,386.4","44,755.2","44.52K","1.99%"
"2021년 09월 11일","45,161.9","44,844.9","45,975.6","44,766.6","41.58K","0.71%"
"2021년 09월 10일","44,842.8","46,385.9","47,021.6","44,283.6","75.62K","-3.33%"
"2021년 09월 09일","46,385.6","46,057.6","47,305.7","45,609.0","73.63K","0.70%"
"2021년 09월 08일","46,061.4","46,774.1","47,316.9","44,493.7","100.48K","-1.54%"
"2021년 09월 07일","46,779.6","52,674.2","52,885.3","43,072.4","187.56K","-11.19%"
"2021년 09월 06일","52,672.1","51,769.4","52,726.2","51,002.8","69.46K","1.75%"
"2021년 09월 05일","51,768.6","49,918.7","51,878.2","49,492.4","57.30K","3.71%"
"2021년 09월 04일","49,918.4","49,999.3","50,534.6","49,461.4","48.14K","-0.16%"
"2021년 09월 03일","49,999.0","49,269.5","51,008.8","48,377.3","88.08K","1.47%"
"2021년 09월 02일","49,274.3","48,817.8","50,355.3","48,612.9","80.21K","0.93%"
"2021년 09월 01일","48,819.4","47,129.2","49,121.0","46,533.1","74.38K","3.58%"
"2021년 08월 31일","47,130.4","46,989.1","48,217.0","46,709.3","71.48K","0.29%"
"2021년 08월 30일","46,992.7","48,777.1","48,886.0","46,876.9","61.68K","-3.66%"
"2021년 08월 29일","48,777.4","48,899.7","49,621.7","47,870.1","47.62K","-0.24%"
"2021년 08월 28일","48,897.1","49,062.8","49,289.4","48,428.5","36.73K","-0.34%"
"2021년 08월 27일","49,064.3","46,830.2","49,142.0","46,371.5","62.47K","4.77%"
"2021년 08월 26일","46,831.6","48,994.4","49,347.8","46,360.4","73.79K","-4.41%"
"2021년 08월 25일","48,994.5","47,707.4","49,230.2","47,163.3","63.54K","2.68%"
"2021년 08월 24일","47,714.7","49,532.5","49,847.4","47,623.6","74.26K","-3.68%"
"2021년 08월 23일","49,539.7","49,255.4","50,498.8","49,038.6","75.37K","0.58%"
"2021년 08월 22일","49,254.5","48,870.4","49,480.3","48,151.0","49.32K","0.77%"
"2021년 08월 21일","48,875.8","49,330.0","49,719.1","48,293.5","18.20K","-0.91%"
"2021년 08월 20일","49,324.0","46,756.7","49,343.3","46,646.8","83.19K","5.49%"
"2021년 08월 19일","46,755.9","44,725.9","47,012.3","43,986.7","77.92K","4.54%"
"2021년 08월 18일","44,723.8","44,691.1","46,004.9","44,230.0","22.36K","0.07%"
"2021년 08월 17일","44,691.6","45,907.5","47,140.6","44,441.3","84.14K","-2.84%"
"2021년 08월 16일","45,996.3","46,991.6","48,002.4","45,672.1","2.41K","-2.12%"
"2021년 08월 15일","46,991.3","47,082.6","47,344.1","45,564.1","58.11K","-0.19%"
"2021년 08월 14일","47,081.5","47,809.6","48,090.9","46,117.2","64.29K","-1.52%"
"2021년 08월 13일","47,809.1","44,404.0","47,836.0","44,242.4","75.27K","7.67%"
"2021년 08월 12일","44,403.4","45,562.3","46,213.8","43,814.7","81.07K","-2.55%"
"2021년 08월 11일","45,564.3","45,593.2","46,736.5","45,367.9","75.43K","-0.06%"
"2021년 08월 10일","45,593.8","46,281.8","46,663.4","44,681.2","80.55K","-1.49%"
