"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 02월 04일","36,982.1","37,648.9","38,707.9","36,380.8","151.44K","-1.77%"
"2021년 02월 03일","37,646.8","35,486.9","37,646.8","35,401.5","131.03K","6.09%"
"2021년 02월 02일","35,485.2","33,514.0","35,976.1","33,462.4","120.85K","5.88%"
"2021년 02월 01일","33,515.7","33,106.8","34,685.6","32,324.9","126.32K","1.23%"
"2021년 01월 31일","33,108.1","34,281.6","34,348.3","32,189.9","101.92K","-3.43%"
"2021년 01월 30일","34,283.1","34,300.0","34,920.9","32,908.5","128.57K","-0.05%"
"2021년 01월 29일","34,301.8","33,381.7","38,546.0","31,953.3","297.73K","2.78%"
"2021년 01월 28일","33,374.8","30,408.9","33,790.8","29,911.9","167.39K","9.77%"
"2021년 01월 27일","30,404.0","32,499.6","32,545.4","29,290.4","194.35K","-6.46%"
"2021년 01월 26일","32,502.1","32,244.1","32,917.7","30,850.0","139.84K","0.77%"
"2021년 01월 25일","32,252.3","32,244.3","34,854.3","31,967.4","142.43K","0.03%"
"2021년 01월 24일","32,241.3","32,088.5","33,034.8","30,982.9","88.21K","0.47%"
"2021년 01월 23일","32,088.9","32,994.1","33,441.4","31,418.2","100.70K","-2.76%"
"2021년 01월 22일","33,000.5","30,838.7","33,821.2","28,871.2","243.09K","7.00%"
"2021년 01월 21일","30,842.1","35,472.3","35,591.1","30,101.8","253.27K","-13.06%"
"2021년 01월 20일","35,476.3","35,862.1","36,384.4","33,444.5","153.61K","-1.46%"
"2021년 01월 19일","36,002.9","36,630.6","37,821.0","36,001.4","79.11K","-1.67%"
"2021년 01월 18일","36,613.2","35,838.2","37,436.8","34,801.0","111.52K","2.16%"
"2021년 01월 17일","35,839.6","36,020.1","36,801.3","33,883.5","126.82K","-0.50%"
"2021년 01월 16일","36,019.5","36,751.8","37,931.7","35,408.4","137.02K","-2.24%"
"2021년 01월 15일","36,845.8","39,175.7","39,715.0","34,488.7","118.42K","-5.95%"
"2021년 01월 14일","39,175.7","37,383.4","40,054.3","36,772.1","172.40K","4.80%"
"2021년 01월 13일","37,382.2","34,061.2","37,764.6","32,451.9","209.93K","9.70%"
"2021년 01월 12일","34,076.1","35,426.0","36,598.7","32,572.7","241.93K","-4.13%"
"2021년 01월 11일","35,544.3","38,195.3","38,217.2","30,411.6","251.04K","-6.93%"
"2021년 01월 10일","38,192.2","40,149.7","41,362.4","35,141.6","215.78K","-4.88%"
"2021년 01월 09일","40,151.9","40,607.2","41,363.5","38,775.1","128.42K","-1.10%"
"2021년 01월 08일","40,599.3","39,466.4","41,921.7","36,613.4","251.29K","2.89%"
"2021년 01월 07일","39,460.2","36,798.5","40,340.9","36,361.2","249.60K","7.25%"
"2021년 01월 06일","36,793.2","33,999.3","36,934.8","33,408.3","227.56K","8.24%"
"2021년 01월 05일","33,991.5","32,015.4","34,414.7","30,010.5","202.13K","6.15%"
"2021년 01월 04일","32,022.6","33,016.6","33,587.5","28,204.5","255.27K","-2.84%"
"2021년 01월 03일","32,958.9","32,192.9","34,755.9","32,029.6","155.21K","2.38%"
"2021년 01월 02일","32,193.3","29,359.7","33,233.5","29,008.0","240.87K","9.65%"
"2021년 01월 01일","29,359.9","28,951.7","29,627.1","28,712.4","100.90K","1.42%"
"2020년 12월 31일","28,949.4","28,866.8","29,298.8","28,025.0","136.69K","0.28%"
"2020년 12월 30일","28,868.7","27,374.5","28,979.3","27,374.5","159.82K","5.45%"
"2020년 12월 29일","27,376.0","27,065.3","27,390.7","25,902.8","119.57K","1.18%"
"2020년 12월 28일","27,057.8","26,259.2","27,444.9","26,144.3","126.98K","3.03%"
"2020년 12월 27일","26,261.3","26,460.3","28,360.3","25,858.2","231.23K","-0.73%"
"2020년 12월 26일","26,454.4","24,714.7","26,826.0","24,515.1","155.77K","7.15%"
"2020년 12월 25일","24,689.6","23,728.7","24,778.9","23,445.3","2.40K","4.02%"
"2020년 12월 24일","23,736.5","23,253.2","23,783.7","22,737.3","104.59K","2.06%"
"2020년 12월 23일","23,257.9","23,820.8","24,063.7","22,694.7","178.47K","-2.37%"
"2020년 12월 22일","23,823.2","22,730.4","23,825.4","22,388.6","130.75K","4.82%"
"2020년 12월 21일","22,728.5","23,474.1","24,101.9","22,015.5","154.69K","-3.18%"
"2020년 12월 20일","23,474.9","23,843.6","24,280.9","23,098.9","114.09K","-1.55%"
"2020년 12월 19일","23,844.0","23,127.6","24,107.1","22,797.0","133.88K","3.10%"
"2020년 12월 18일","23,127.9","22,823.3","23,272.8","22,361.5","131.80K","1.33%"
"2020년 12월 17일","22,825.4","21,352.3","23,738.0","21,243.1","310.74K","6.90%"
"2020년 12월 16일","21,352.2","19,434.7","21,525.3","19,299.7","199.81K","9.87%"
"2020년 12월 15일","19,434.9","19,273.9","19,556.3","19,076.2","98.39K","0.84%"
"2020년 12월 14일","19,273.8","19,176.4","19,346.5","19,007.0","67.11K","0.51%"
"2020년 12월 13일","19,176.8","18,808.1","19,403.6","18,716.8","82.45K","1.96%"
"2020년 12월 12일","18,808.9","18,026.7","18,936.2","18,025.1","71.37K","4.36%"
"2020년 12월 11일","18,023.6","18,250.5","18,288.3","17,600.1","111.53K","-1.23%"
"2020년 12월 10일","18,247.2","18,546.1","18,551.8","17,926.8","85.31K","-1.61%"
"2020년 12월 09일","18,546.0","18,322.4","18,637.9","17,658.8","129.72K","1.20%"
"2020년 12월 08일","18,326.6","19,170.8","19,288.6","18,229.2","101.41K","-4.40%"
"2020년 12월 07일","19,170.7","19,368.4","19,424.6","18,908.8","61.98K","-1.08%"
"2020년 12월 06일","19,379.9","19,146.0","19,417.1","18,873.0","54.56K","1.22%"
"2020년 12월 05일","19,146.5","18,657.5","19,172.7","18,507.1","59.44K","2.62%"
"2020년 12월 04일","18,658.1","19,431.1","19,529.5","18,610.8","110.63K","-3.99%"
"2020년 12월 03일","19,433.3","19,219.8","19,596.6","18,883.7","99.97K","1.12%"
"2020년 12월 02일","19,218.8","18,767.9","19,335.5","18,346.7","91.92K","2.39%"
"2020년 12월 01일","18,770.7","19,697.8","19,897.4","18,257.0","208.72K","-4.71%"
"2020년 11월 30일","19,698.1","18,186.0","19,831.2","18,186.0","185.59K","8.32%"
"2020년 11월 29일","18,185.5","17,729.7","18,336.3","17,530.4","79.12K","2.57%"
"2020년 11월 28일","17,730.7","17,142.6","17,874.4","16,874.4","95.20K","3.52%"
"2020년 11월 27일","17,127.1","17,160.9","17,450.3","16,481.6","138.80K","-0.20%"
"2020년 11월 26일","17,162.0","18,721.9","18,894.9","16,235.2","312.07K","-8.34%"
"2020년 11월 25일","18,723.0","19,151.5","19,486.7","18,527.7","146.12K","-2.24%"
"2020년 11월 24일","19,152.6","18,394.6","19,416.6","18,074.8","180.79K","4.21%"
"2020년 11월 23일","18,379.6","18,428.1","18,756.8","18,016.0","127.35K","-0.18%"
"2020년 11월 22일","18,412.9","18,689.3","18,751.5","17,644.6","121.76K","-1.47%"
"2020년 11월 21일","18,687.2","18,673.8","18,966.0","18,397.5","108.91K","0.06%"
"2020년 11월 20일","18,675.2","17,805.5","18,811.0","17,758.4","134.42K","4.90%"
"2020년 11월 19일","17,803.5","17,775.1","18,166.0","17,380.1","135.94K","0.16%"
"2020년 11월 18일","17,774.6","17,662.3","18,466.1","17,258.9","233.43K","0.64%"
"2020년 11월 17일","17,662.3","16,715.8","17,845.4","16,562.0","175.87K","5.66%"
"2020년 11월 16일","16,715.8","15,954.1","16,880.7","15,870.7","118.09K","4.78%"
"2020년 11월 15일","15,953.0","16,074.7","16,158.1","15,782.3","58.43K","-0.73%"
"2020년 11월 14일","16,071.0","16,323.1","16,328.2","15,717.7","83.64K","-1.55%"
"2020년 11월 13일","16,324.2","16,293.0","16,474.1","15,973.4","113.75K","0.18%"
"2020년 11월 12일","16,294.7","15,695.8","16,342.7","15,483.5","165.54K","3.82%"
"2020년 11월 11일","15,695.8","15,303.1","15,953.9","15,281.0","119.07K","2.56%"
"2020년 11월 10일","15,303.6","15,328.0","15,465.3","15,096.5","93.36K","-0.15%"
"2020년 11월 09일","15,327.2","15,483.3","15,819.6","14,816.9","165.04K","-1.01%"
"2020년 11월 08일","15,483.7","14,826.6","15,648.3","14,720.7","94.99K","4.42%"
"2020년 11월 07일","14,828.4","15,578.2","15,754.4","14,385.1","160.73K","-4.81%"
"2020년 11월 06일","15,577.9","15,593.9","15,955.2","15,223.5","186.13K","-0.06%"
"2020년 11월 05일","15,587.1","14,145.6","15,739.9","14,099.7","227.49K","10.19%"
"2020년 11월 04일","14,145.6","14,023.0","14,238.8","13,544.4","140.80K","0.90%"
"2020년 11월 03일","14,019.9","13,560.5","14,054.0","13,294.6","108.17K","3.38%"
"2020년 11월 02일","13,561.4","13,759.7","13,828.4","13,214.2","97.76K","-1.44%"
"2020년 11월 01일","13,759.4","13,795.5","13,889.5","13,628.7","51.71K","-0.27%"
"2020년 10월 31일","13,797.3","13,560.2","14,065.4","13,441.7","102.75K","1.75%"
"2020년 10월 30일","13,559.9","13,457.0","13,667.9","13,134.5","108.77K","0.76%"
"2020년 10월 29일","13,457.2","13,278.3","13,640.0","12,982.9","111.23K","1.34%"
